OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
C-1,44.99977436521704,0.25038503494821146,3081.134181676954,55.50796502914653,0.30952539709730353,0.9617164216187283,0.9808283661074616,2.7696638107299805
C-2,30.83254397545181,0.17061103389216986,1653.2086352675776,40.659668410693875,0.2246268839251036,0.9851985391978261,0.9926510210987696,2.7696638107299805
C-3,28.82053892704253,0.15469383135364956,1269.5874111408796,35.63127013089597,0.19123455576311624,0.9900117044515014,0.9949942029639781,2.7696638107299805
C-4,26.912404113188128,0.14419722726800724,1098.4963528444039,33.1435718178413,0.17746780307605106,0.9910348384145728,0.9955268292626679,2.7696638107299805
C-5,57.557879848895126,0.2905401897963962,5013.7034621323655,70.80750992749545,0.35709956814922295,0.9499871602115277,0.9748494829460603,2.7696638107299805
C-6,64.97985584931195,0.33938903484957994,6080.7703580708385,77.97929441890865,0.4069085320883912,0.9343068562654231,0.9667310572976792,2.7696638107299805
C-7,27.60066455537793,0.14904531492952747,1377.1506971177012,37.10998109832045,0.2013319413598674,0.987833210803414,0.9940081021661753,2.7696638107299805
C-8,22.476788919159166,0.11895245998023483,810.8838333752369,28.476022077797964,0.15050857816710497,0.9939241357257897,0.9969969151577427,2.7696638107299805
C-9,21.86725936475057,0.11778857776117216,801.0727971769793,28.30322944783827,0.1525595937381482,0.9930293154671048,0.996514418202732,2.7696638107299805
C-10,59.50554756575246,0.30536855650093164,5122.611769840374,71.57242324974315,0.36746024233900565,0.9460568835809653,0.9728221016325067,2.7696638107299805
C-11,58.94754652060021,0.319378198998206,5040.238225976403,70.99463519151573,0.3846687488940309,0.9478865581230136,0.9736203352841664,2.7696638107299805
C-12,31.60832988208577,0.17737807693488575,1613.4435648153317,40.16769304821141,0.22449567272781012,0.9860537257940398,0.993031827968056,2.7696638107299805
C-13,35.7197057921785,0.1978706423004304,1951.2524420282257,44.1729831687676,0.24452638860891324,0.9845165123522732,0.9922669205117866,2.7696638107299805
C-14,31.98050666617262,0.17802813083945718,1641.3219235159095,40.5132314622755,0.22510194061400568,0.9845813906566262,0.9922857919937018,2.7696638107299805
C-15,49.033112274498116,0.2617855974565866,3577.334022224973,59.810818605206975,0.3199561217065184,0.9534481449413178,0.9766079858182865,2.7696638107299805
