OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
C-1,7.116511,0.03957205917686224,96.628,9.829954,0.05491807241924107,0.9989149570465088
C-2,9.827956,0.05433279438875615,163.38698,12.782291,0.07088826969265938,0.9987085461616516
C-3,9.999063,0.0535130500793457,174.32771,13.203322,0.0707858067471534,0.9986448884010315
C-4,10.626041,0.056796864373609424,189.82924,13.777852,0.07341660093516111,0.9982812404632568
C-5,9.332155,0.047044947859831154,145.64323,12.068274,0.06070298841223121,0.9983544945716858
C-6,9.263405,0.04819705500267446,151.96695,12.327488,0.06407768232747912,0.9982288479804993
C-7,9.462116,0.05070731858722865,166.1023,12.888068,0.06884182803332806,0.9984728693962097
C-8,8.012175,0.042281419155187905,124.361305,11.15174,0.05845674895681441,0.9990932941436768
C-9,8.535736,0.046000658767297864,122.38779,11.0629015,0.05950010963715613,0.9989959001541138
C-10,7.806165,0.040110532427206635,106.84774,10.336718,0.05310892593115568,0.9988840818405151
C-11,10.773334,0.05830098525620997,200.4011,14.15631,0.07641545962542295,0.9975908994674683
C-12,15.292753,0.08614162798039615,360.25537,18.980394,0.10686594760045408,0.9964141845703125
C-13,9.468301,0.0526151794474572,155.67862,12.477124,0.06947540096007288,0.9985694289207458
C-14,8.6295185,0.048262000200338655,134.01381,11.576433,0.06488441140390933,0.9986950159072876
C-15,7.5677276,0.040426113991998136,105.23359,10.258342,0.0548840209376067,0.9985747337341309
