OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
C-1,11.211244,0.06232485175132752,208.1351,14.426888,0.08009105804376304,0.9974138736724854
C-2,11.363594,0.06305425195023417,226.46776,15.048845,0.083427649224177,0.9979723691940308
C-3,8.410833,0.04517140914686024,126.05675,11.2275,0.060318660689517856,0.9990082383155823
C-4,8.832383,0.04726349434349686,131.76122,11.478729,0.06133443093858659,0.9989246726036072
C-5,8.530137,0.04303770256228745,119.92512,10.951033,0.05517553654499351,0.9988037347793579
C-6,14.04537,0.0733993190806359,282.55466,16.809362,0.08776412578299642,0.9969474673271179
C-7,13.475872,0.07269603083841503,287.7574,16.963413,0.09155158768408,0.99745774269104
C-8,8.633658,0.04575182974804193,130.29518,11.414692,0.060369097627699375,0.9990237355232239
C-9,10.05696,0.05418913788162172,182.56467,13.511649,0.07290128851309419,0.9984113574028015
C-10,8.643002,0.044392989366315305,151.41534,12.305094,0.06335298530757427,0.9984055161476135
C-11,9.893313,0.0533832295332104,182.35054,13.503722,0.07266661268658936,0.9981145858764648
C-12,13.877806,0.07772758835926652,325.46707,18.040707,0.1005743513815105,0.9971867203712463
C-13,10.746732,0.05957481334917247,200.29208,14.152457,0.07825708598829806,0.9984106421470642
C-14,10.13817,0.05638634320348501,173.58644,13.1752205,0.07308383355848491,0.9983693361282349
C-15,8.864571,0.04717163101304322,140.1765,11.839616,0.06285229464992881,0.998175859451294
