OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
C-1,7.526784,0.041840688209049404,98.87657,9.94367,0.055410771165043116,0.998889684677124
C-2,7.990397,0.04421905614435673,107.21296,10.354369,0.05718138418160379,0.9991525411605835
C-3,9.78793,0.052380660781636834,164.98824,12.844774,0.06859151180833578,0.9987174868583679
C-4,10.674538,0.057005882263183594,202.75528,14.239215,0.07577129872515798,0.9981642365455627
C-5,9.470208,0.04771856474690139,143.96313,11.998464,0.06035136757418513,0.9983735084533691
C-6,8.794602,0.04582901892717928,135.47842,11.63952,0.06059964653104544,0.9984210133552551
C-7,11.392129,0.06109617534093559,203.8927,14.2791,0.07643501739948988,0.998125433921814
C-8,9.303653,0.04918762133456767,152.12955,12.33408,0.0650552217848599,0.9988908767700195
C-9,9.42916,0.0506669282913208,157.37695,12.544998,0.06709623266942799,0.9987088441848755
C-10,7.852291,0.04025464004371315,104.060074,10.200984,0.05219372687861324,0.9989131689071655
C-11,8.479368,0.04587072180584073,128.09883,11.318075,0.06113404524512589,0.9984601140022278
C-12,10.68446,0.06008095224387944,218.997,14.798547,0.08312501013278961,0.9978201985359192
C-13,9.896888,0.0550470023881644,205.03246,14.318954,0.08000690722838044,0.9981158971786499
C-14,8.836439,0.049387098988518126,147.42354,12.14181,0.06805008160881698,0.9985644817352295
C-15,8.907936,0.047651975182816386,141.29155,11.886612,0.06376132369041443,0.9980863332748413
