OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
C-1,45.16531325022382,0.2513483367533907,3106.4830615607602,55.735832832754554,0.3108945145327943,0.9651162765701953,0.9826731278280324,2.74981951713562
C-2,26.257931805561665,0.14496754690419655,1062.039022770338,32.58894019096568,0.17967132479045891,0.9916052424279812,0.9958913734993614,2.74981951713562
C-3,26.505520302569774,0.14192299261559055,1109.2390899075708,33.30524117774214,0.17827264635770654,0.9913775887497963,0.9957203803122945,2.74981951713562
C-4,26.501629694761505,0.14170809404604862,1066.6633553124816,32.659812542519006,0.17429388856084452,0.9903422703550621,0.9951635544307034,2.74981951713562
C-5,57.62333834524937,0.2907541806299488,5124.299904402194,71.58421546962846,0.3607838836917135,0.9421050882960083,0.970716797746997,2.74981951713562
C-6,62.86505009681706,0.32743500215663124,6005.995748226406,77.49835964861713,0.40299764479413214,0.9300009975912306,0.9646077960772821,2.74981951713562
C-7,25.177341621483485,0.13562409318399204,1036.4604207981215,32.19410537347049,0.17401808577295427,0.9904709926932832,0.9953184401550035,2.74981951713562
C-8,19.910586765103908,0.10512815171592779,619.4324999679004,24.888400912230185,0.13102215303500364,0.9954838270285004,0.9977407869516904,2.74981951713562
C-9,20.581417863040333,0.11089518125322691,665.5901523319802,25.799033941835496,0.13881292524611286,0.9945392855429903,0.9973728570922686,2.74981951713562
C-10,57.021304070052636,0.29288132524518695,4693.298750207588,68.50765468330957,0.35202812918625254,0.950983216307384,0.9755467051141624,2.74981951713562
C-11,62.18634896232825,0.33702567839653447,5410.352141468534,73.55509595852985,0.3986196646466134,0.9349607675522589,0.9670411675606041,2.74981951713562
C-12,29.279653033372853,0.1646269487532715,1281.4896284868416,35.79789977759647,0.2008394440734363,0.9872445880211028,0.9936092824199143,2.74981951713562
C-13,34.1927556191796,0.19000029899869159,1795.0382246998731,42.36789143561281,0.2354583688164656,0.9835050061520973,0.9918436990149083,2.74981951713562
C-14,30.256311384769177,0.16910646905043558,1501.1033028368151,38.7440744222496,0.21705454932777002,0.985383058678841,0.9926904758372253,2.74981951713562
C-15,51.655434719562635,0.2759500706003453,3877.0657131833077,62.2660879868272,0.3327588662407066,0.9474891268735405,0.973617307493005,2.74981951713562
