OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC
C-1,44.6049,0.2482,3058.6736,55.3053,0.3085,0.9657,0.9829
C-2,26.3319,0.1454,1069.3634,32.7011,0.1803,0.9915,0.9959
C-3,26.435,0.1415,1115.09,33.393,0.1787,0.9913,0.9957
C-4,26.5959,0.1422,1073.5413,32.7649,0.1748,0.9903,0.9951
C-5,57.3117,0.2892,5116.9515,71.5329,0.3604,0.9422,0.9708
C-6,62.7742,0.327,5964.4266,77.2297,0.4016,0.9305,0.9648
C-7,24.9846,0.1346,1032.5619,32.1335,0.1738,0.9905,0.9953
C-8,19.9471,0.1054,624.1879,24.9838,0.1316,0.9954,0.9977
C-9,20.7011,0.1115,659.1862,25.6746,0.1381,0.9946,0.9974
C-10,57.0229,0.2929,4694.6292,68.5174,0.352,0.951,0.9755
C-11,62.3389,0.3379,5435.4846,73.7257,0.3996,0.9347,0.9669
C-12,29.3717,0.1651,1294.9139,35.9849,0.2018,0.9871,0.9935
C-13,33.3115,0.1851,1703.5732,41.2744,0.2292,0.9843,0.9923
C-14,29.8891,0.167,1481.8642,38.495,0.2155,0.9856,0.9928
C-15,51.5406,0.2753,3874.4154,62.2448,0.3326,0.9475,0.9736
