OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
C-1,109.0031,0.6059,18753.6247,136.9439,0.7616,0.7894
C-2,114.0502,0.6308,18975.5277,137.7517,0.7611,0.85
C-3,115.8698,0.6201,20016.3412,141.4791,0.756,0.8444
C-4,109.022,0.5833,17992.4179,134.1358,0.7164,0.8371
C-5,111.1463,0.5603,19022.1177,137.9207,0.6944,0.7851
C-6,67.2114,0.3502,6847.9767,82.7525,0.4308,0.9202
C-7,45.723,0.2461,3052.3969,55.2485,0.2978,0.9719
C-8,154.9764,0.8228,35885.8897,189.4357,1.0074,0.7384
C-9,99.4673,0.5366,14165.2105,119.0177,0.6422,0.8838
C-10,97.9841,0.5035,14583.7906,120.7634,0.6206,0.8477
C-11,103.9524,0.5637,16715.8017,129.2896,0.702,0.7991
C-12,98.8855,0.5575,15053.6447,122.6933,0.6923,0.8502
C-13,155.3721,0.8622,34722.102,186.3387,1.0335,0.6809
C-14,87.4304,0.4878,11436.6363,106.9422,0.5965,0.8886
C-15,115.9405,0.6194,19740.6526,140.5014,0.7512,0.7326
