OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
A-2,276.5783,1.0682,87189.1651,295.2781,1.1392,-7.1534
B-1,351.0887,1.5399,142233.7096,377.1388,1.6513,-6.4977
B-2,391.2522,1.8095,174239.4065,417.4199,1.9265,-7.2339
B-4,290.3322,1.269,98834.7517,314.3799,1.3718,-5.7965
B-5,369.5483,1.6875,153951.8057,392.3669,1.7886,-7.855
B-7,73.8662,0.3245,8695.5636,93.25,0.4096,0.412
B-8,71.9527,0.3398,8129.0897,90.1615,0.4258,0.5228
C-1,77.4346,0.4293,10393.0286,101.9462,0.5627,0.8833
C-2,95.2157,0.5256,15380.843,124.0195,0.6806,0.8784
C-3,220.5013,1.1791,69067.5795,262.8071,1.4012,0.4631
C-4,101.306,0.5411,16703.1972,129.2408,0.6872,0.8488
C-5,99.3625,0.5001,16074.4259,126.785,0.636,0.8184
C-6,143.7282,0.747,35947.7207,189.5988,0.9796,0.581
C-7,188.8336,1.0127,57171.1831,239.105,1.2786,0.4744
C-8,906.0018,4.7637,957997.9492,978.7737,5.1175,-5.9846
C-9,728.8703,3.8967,653138.9753,808.1701,4.2963,-4.3586
C-10,677.3024,3.4551,554487.3768,744.6391,3.7801,-4.7911
C-11,185.2014,1.004,51076.1767,226.0004,1.2246,0.386
C-12,190.7632,1.0757,52616.8571,229.3836,1.2935,0.4763
C-13,893.2091,4.928,906645.736,952.1795,5.2274,-7.3314
C-14,114.3129,0.6379,21402.5887,146.2962,0.8135,0.7916
C-15,99.3958,0.5311,17114.5858,130.8227,0.6986,0.7682
